cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
11065453,8005129-09.2023.8.05.0039,611009.25,11065453000201,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,COBREMACK INDUSTRIA DE CONDUTORES ELETRI,"ROWS:p6r8,p17r10|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
05216859,,569654.02,05216859000156,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,BIOBASE INDUSTRIA E COMERCIO LTDA,CASE_NUMBER_MISSING|ROWS:p3r7,2026-09-03T23:03:32Z,build
01701201,0301015-33.2016.8.24.0031,568877.29,01701201000189,1,e Extrajudicia,,,1,FLOOR,98f99945499b4824d14d0e34451a96945464b6ec,"HSBC BANK BRASIL S.A, CNPJ",ROWS:p2r77|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
90400888,0804204-35.2022.8.15.0731,561196.46,90400888000142,1,SECULAR COMERCIO CONSTRUÇÃO E REPRESENTAÇÃO LTDA,,,1,FLOOR,1355f93a13cd2722ee99a9ba39c71d079fe85ce0,BANCO SANTANDER,ROWS:p1r5,2026-09-03T23:03:32Z,build
32274874,8005129-09.2023.8.05.0039,547127.35,32274874000123,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,CREDIT PARTNERS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,"ROWS:p6r11,p17r11|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
10962529,0804401-51.2025.8.14.0039,526042.93,10962529000140,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,CALMAP INDUSTRIA DE CALCARIO LTDA,ROWS:p1r8,2026-09-03T23:03:32Z,build
00466591,0000206-69.2013.8.17.1340,497078.85,00466591000197,1,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,1,FLOOR,7c0ce2830d0d7e22653dbd04dbb70cd8440069c6,COBB - VANTRESS BRASIL LTDA,"ALT_VALUE:497.078,85|ROWS:p1r23|VALUE_COL:Valor_Atualizado",2026-09-03T23:03:32Z,build
60746948,0008526-45.2025.8.17.2001,470302.13,60746948000112,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO BRADESCO S.A,ROWS:p5r49,2026-09-03T23:03:32Z,build
18373437,0804401-51.2025.8.14.0039,467392.00,18373437000136,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,CROPFERT INDUSTRIA DE FERTILIZANTES E AG,ROWS:p1r12,2026-09-03T23:03:32Z,build
29588019,0008526-45.2025.8.17.2001,407241.98,29588019001316,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,COMARY INDUSTRIA DE BEBIDAS LTDA,ROWS:p5r69,2026-09-03T23:03:32Z,build
